Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Puzzle Kingdoms,DS,2009.0,Puzzle,Zoo Digital Publishing,0.12,0.0,0.0,0.01,0.13
Walk it Out!,Wii,2010.0,Sports,Konami Digital Entertainment,0.36,0.06,0.0,0.04,0.46
Rocky Balboa,PSP,2007.0,Sports,Ubisoft,0.01,0.09,0.0,0.01,0.11
Madden NFL 2002,PS,2001.0,Sports,Electronic Arts,0.78,0.53,0.0,0.09,1.39
Naruto: Ultimate Ninja Heroes,PSP,2006.0,Fighting,Namco Bandai Games,0.26,0.0,0.0,0.0,0.26
Pokemon Puzzle League,N64,2000.0,Puzzle,Nintendo,0.36,0.08,0.0,0.01,0.45
SpongeBob SquarePants: The Yellow Avenger,DS,2005.0,Action,THQ,0.32,0.0,0.0,0.02,0.35
Resident Evil 6,PC,2012.0,Shooter,Capcom,0.0,0.04,0.0,0.01,0.04
Battle Stations,PS,1997.0,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78
Schlag den Raab,Wii,2010.0,Misc,Namco Bandai Games,0.0,0.17,0.0,0.03,0.2
Laser Blast,2600,1981.0,Action,Activision,0.37,0.02,0.0,0.0,0.39
Major League Baseball 2K7,PS3,2007.0,Sports,Spike,0.23,0.0,0.0,0.02,0.25
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011.0,Action,Activision,0.34,0.09,0.0,0.04,0.46
"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,2016.0,Adventure,,0.0,0.0,0.02,0.0,0.02
Robotech: Battlecry,GC,2002.0,Shooter,TDK Mediactive,0.13,0.03,0.0,0.0,0.16
Barbie and Her Sisters Puppy Rescue,3DS,2015.0,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.04
Iridion II,GBA,2003.0,Shooter,Vivendi Games,0.09,0.03,0.0,0.0,0.13
Akiba's Trip,PSP,2011.0,Adventure,Acquire,0.0,0.0,0.14,0.0,0.14
Dark Cloud 2,PS2,2002.0,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
Backyard Baseball,GC,2003.0,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13
NCAA Football 09,PS2,2008.0,Sports,Electronic Arts,0.4,0.02,0.0,0.07,0.48
RollerCoaster Tycoon 2,PC,2002.0,Strategy,Atari,1.19,0.05,0.0,0.0,1.25
Dead Island Definitive Collection,PS4,2016.0,Action,Deep Silver,0.02,0.07,0.01,0.02,0.12
Transformers: Cybertron Adventures,Wii,2010.0,Action,Activision,0.15,0.1,0.0,0.03,0.28
The Book of Unwritten Tales: The Critter Chronicles,PC,2011.0,Action,Crimson Cow,0.0,0.05,0.0,0.01,0.06
Puss in Boots,X360,2011.0,Action,THQ,0.2,0.02,0.0,0.02,0.23
Disney's Kim Possible 2: Drakken's Demise,GBA,2004.0,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014.0,Action,Disney Interactive Studios,0.26,0.24,0.0,0.1,0.6
Marvel Super Hero Squad,PSP,2009.0,Fighting,THQ,0.17,0.02,0.0,0.02,0.21
Sudoku Fever,GBA,2006.0,Puzzle,Take-Two Interactive,0.05,0.02,0.0,0.0,0.07
Bloody Roar Extreme,XB,2003.0,Fighting,Hudson Soft,0.03,0.01,0.0,0.0,0.04
Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007.0,Sports,Detn8 Games,0.21,0.0,0.0,0.02,0.23
NHL Blades of Steel '99,N64,1999.0,Sports,Konami Digital Entertainment,0.05,0.0,0.0,0.0,0.05
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
Dungeons & Dragons: Eye of the Beholder,GBA,2002.0,Role-Playing,Atari,0.19,0.07,0.0,0.0,0.26
Greg Hastings' Tournament Paintball Max'd,DS,2006.0,Shooter,Activision,0.03,0.0,0.0,0.0,0.04
Dragon Ball: XenoVerse,X360,2015.0,Fighting,Namco Bandai Games,0.16,0.08,0.0,0.02,0.27
Rush,PSP,2006.0,Racing,Midway Games,0.11,0.0,0.0,0.01,0.12
Derby Stallion DS,DS,2008.0,Sports,Enterbrain,0.0,0.0,0.32,0.0,0.32
Happy Feet,DS,2006.0,Action,Midway Games,0.27,0.01,0.0,0.02,0.31
BurgerTime,2600,1981.0,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59
Harvest Moon: Back to Nature,PS,1999.0,Simulation,Ubisoft,0.11,0.07,0.12,0.02,0.32
Rapala Pro Fishing,XB,2004.0,Sports,Zoo Digital Publishing,0.12,0.03,0.0,0.01,0.16
MLB SlugFest 2006,PS2,2006.0,Sports,Midway Games,0.13,0.1,0.0,0.03,0.26
Kao the Kangaroo Round 2,PS2,2005.0,Platform,JoWood Productions,0.01,0.01,0.0,0.0,0.02
Deadly Duck,2600,1981.0,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0,0.22
Dai-4-Ji Super Robot Taisen S,PS,1996.0,Strategy,Banpresto,0.0,0.0,0.48,0.03,0.51
Sébastien Loeb Rally Evo,PS4,2016.0,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.04
M&M's Adventure,DS,2008.0,Adventure,Zoo Digital Publishing,0.04,0.0,0.0,0.0,0.05
Tengai Makyo: Dai Yon no Mokushiroku,PSP,2006.0,Role-Playing,Hudson Soft,0.0,0.0,0.01,0.0,0.01
The Suite Life of Zack & Cody: Tipton Trouble,DS,2006.0,Action,Disney Interactive Studios,0.23,0.0,0.0,0.02,0.25
Transformers: Dark of the Moon,Wii,2011.0,Action,Activision,0.1,0.07,0.0,0.02,0.18
Steins;Gate 0,PS3,2015.0,Adventure,5pb,0.0,0.0,0.03,0.0,0.03
The Lord of the Rings: The Two Towers,XB,2002.0,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71
Shaun White Snowboarding: World Stage,Wii,2009.0,Sports,Ubisoft,0.25,0.04,0.0,0.02,0.31
Hatsune Miku: Project Diva f,PS3,2013.0,Misc,Sega,0.08,0.0,0.19,0.01,0.27
Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
Victorious: Time to Shine,X360,2011.0,Action,D3Publisher,0.12,0.0,0.0,0.01,0.13
Popeye: Rush for Spinach,GBA,2005.0,Platform,Atari,0.02,0.01,0.0,0.0,0.03
Tiger Woods PGA Tour 08,Wii,2007.0,Sports,Electronic Arts,0.94,0.02,0.0,0.08,1.03
Reign of Fire,GC,2002.0,Shooter,BAM! Entertainment,0.08,0.02,0.0,0.0,0.11
Dragon Quest X,Wii,2012.0,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96
Yokai Sangokushi,3DS,2016.0,Action,Level 5,0.0,0.0,0.55,0.0,0.55
Dragon Quest V: Tenkuu no Hanayome,SNES,1992.0,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79
Bottom of the 9th,N64,1999.0,Sports,Konami Digital Entertainment,0.37,0.0,0.0,0.0,0.37
J-League Winning Eleven 2007: Club Championship,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31
Football Academy,DS,2009.0,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.02
Capcom's Soccer Shootout,SNES,1993.0,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8
Scooby-Doo! Night of 100 Frights,XB,2003.0,Platform,THQ,0.11,0.03,0.0,0.01,0.14
Dragon Ball Z: Tenkaichi Tag Team,PSP,2010.0,Fighting,Namco Bandai Games,0.11,0.04,0.09,0.03,0.27
Go Diego Go! Great Dinosaur Rescue,DS,2008.0,Action,Take-Two Interactive,0.44,0.01,0.0,0.03,0.48
ZhuZhu Puppies,DS,2011.0,Simulation,Activision,0.13,0.04,0.0,0.01,0.18
Squishy Tank,DS,2010.0,Puzzle,Natsume,0.07,0.0,0.0,0.0,0.07
Neverwinter Nights 2,PC,2006.0,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.03
Final Fantasy X / X-2 HD Remaster,PSV,2013.0,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97
Zombi Daisuki,DS,2011.0,Action,ChunSoft,0.0,0.0,0.04,0.0,0.04
Target: Terror,Wii,2008.0,Shooter,Konami Digital Entertainment,0.06,0.0,0.0,0.01,0.07
Kamiwaza,PS2,2006.0,Action,Acquire,0.0,0.0,0.05,0.0,0.05
Tom Clancy's Splinter Cell 3D,3DS,2011.0,Action,Ubisoft,0.14,0.07,0.07,0.02,0.3
Disney Sing It,X360,2008.0,Misc,Disney Interactive Studios,0.39,0.01,0.0,0.03,0.43
Rayman Origins,PSV,2012.0,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015.0,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03
Games Explosion!,GBA,2006.0,Action,THQ,0.01,0.0,0.0,0.0,0.02
Shanghai: True Valor,PS,1998.0,Puzzle,Activision,0.01,0.01,0.0,0.0,0.02
ShellShock 2: Blood Trails,PS3,2009.0,Shooter,Eidos Interactive,0.04,0.03,0.0,0.01,0.08
SoulCalibur Legends (JP sales),Wii,2007.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
O.M.G. 26 - Our Mini Games,DS,2007.0,Puzzle,505 Games,0.02,0.0,0.0,0.0,0.02
Jeopardy!,N64,1998.0,Misc,GameTek,0.08,0.02,0.0,0.0,0.1
Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
Bomberman Party Edition,PS,1998.0,Puzzle,Virgin Interactive,0.07,0.05,0.0,0.01,0.12
DeathSmiles,X360,2009.0,Shooter,Rising Star Games,0.15,0.06,0.05,0.02,0.28
Glacier2,Wii,2009.0,Racing,Zoo Games,0.04,0.0,0.0,0.0,0.04
XGRA: Extreme G Racing Association,XB,2003.0,Racing,Acclaim Entertainment,0.02,0.0,0.0,0.0,0.02
Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010.0,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Big League Sports: Summer,DS,2009.0,Sports,Activision,0.1,0.0,0.0,0.01,0.11
Cabela's Big Game Hunter: Ultimate Challenge,PS,2001.0,Sports,Activision Value,0.12,0.08,0.0,0.01,0.21
Disney's Treasure Planet,PS2,2002.0,Action,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33
Nobunaga no Yabou: Tenshoki,SNES,1996.0,Strategy,Tecmo Koei,0.0,0.0,0.17,0.0,0.17
Risen 3: Titan Lords,X360,2014.0,Role-Playing,Deep Silver,0.02,0.06,0.0,0.01,0.08
Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009.0,Role-Playing,Bethesda Softworks,0.16,0.06,0.0,0.02,0.24
Royal Palace of White Sword and The City of Gentiles,PC,2009.0,Role-Playing,Take-Two Interactive,0.0,0.02,0.0,0.01,0.03
Mario & Wario,SNES,1993.0,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49
Dynasty Warriors: Gundam 3,PS3,2010.0,Action,Tecmo Koei,0.11,0.05,0.36,0.02,0.55
Naruto Shippuden: Gekito Ninja Taisen! EX 3,Wii,2008.0,Fighting,Takara Tomy,0.0,0.0,0.07,0.0,0.07
Brothers: A Tale of Two Sons,PS4,2015.0,Adventure,505 Games,0.03,0.08,0.0,0.02,0.13
Black & White,PC,2001.0,Strategy,Electronic Arts,0.0,0.04,0.0,0.01,0.04
Hands On! Tangrams,DS,2009.0,Puzzle,Storm City Games,0.02,0.0,0.0,0.0,0.02
LEGO Rock Raiders,PS,1999.0,Strategy,LEGO Media,0.06,0.04,0.0,0.01,0.1
The Humans: Meet the Ancestors!,DS,2009.0,Puzzle,Deep Silver,0.01,0.0,0.0,0.0,0.01
Just Dance 2: Extra Songs,Wii,2011.0,Misc,Ubisoft,0.0,0.17,0.0,0.03,0.2
Mugen Keitai Disgaea,PS2,2007.0,Role-Playing,Tecmo Koei,0.0,0.0,0.09,0.0,0.09
Max Payne,PC,2001.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
Taiko Drum Master,PS2,2004.0,Misc,Namco Bandai Games,0.1,0.08,0.0,0.03,0.2
Gears of War: Judgment,X360,2013.0,Shooter,Microsoft Game Studios,0.92,0.53,0.03,0.13,1.61
Mimana Iyar Chronicle,PSP,2009.0,Role-Playing,GungHo,0.07,0.0,0.01,0.01,0.09
Need for Speed: ProStreet,PC,2007.0,Racing,Electronic Arts,0.0,0.04,0.0,0.01,0.04
TV Total Events,Wii,2011.0,Misc,7G//AMES,0.0,0.02,0.0,0.0,0.03
Mortal Kombat Trilogy,PS,1996.0,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79
Harvest Moon 2 GBC,GB,1999.0,Simulation,Ubisoft,0.0,0.0,0.12,0.0,0.12
Magicka Collection,PC,2011.0,Adventure,Unknown,0.0,0.02,0.0,0.0,0.03
The History Channel: Battle for the Pacific,X360,2007.0,Shooter,Activision,0.05,0.0,0.0,0.0,0.06
Zoids Dash,DS,2006.0,Role-Playing,Tomy Corporation,0.0,0.0,0.02,0.0,0.02
NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08
Freaky Flyers,GC,,Racing,Unknown,0.01,0.0,0.0,0.0,0.01
Archer Maclean's Mercury,PSP,2005.0,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56
CSI: Fatal Conspiracy,Wii,2010.0,Adventure,Ubisoft,0.12,0.08,0.0,0.02,0.22
Marvel vs. Capcom 2: New Age of Heroes,DC,2000.0,Fighting,Virgin Interactive,0.0,0.0,0.14,0.0,0.14
Mega Minis Volume 2,PSP,2011.0,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03
Still Life,XB,2005.0,Adventure,Microids,0.05,0.02,0.0,0.0,0.07
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
Buck Fever,Wii,2009.0,Sports,Destineer,0.13,0.0,0.0,0.01,0.14
Onechanbara Z Kagura,X360,2012.0,Action,D3Publisher,0.0,0.0,0.03,0.0,0.03
Space Channel 5 Special Edition,PS2,2003.0,Misc,Agetec,0.04,0.03,0.0,0.01,0.08
Rock Blast,Wii,2010.0,Puzzle,UFO Interactive,0.02,0.0,0.0,0.0,0.02
Tony Hawk's American Wasteland,GC,2005.0,Sports,Activision,0.33,0.08,0.0,0.01,0.42
Just Dance 2015,PS4,2014.0,Misc,Ubisoft,0.19,0.13,0.0,0.06,0.38
Mad Dash Racing,XB,2001.0,Racing,Eidos Interactive,0.11,0.03,0.0,0.01,0.15
Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
Reader Rabbit 2nd Grade,Wii,,Misc,Unknown,0.05,0.0,0.0,0.0,0.05
The Mummy: Tomb of the Dragon Emperor,PS2,2008.0,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25
Winning Post 7 2013,PS3,2013.0,Sports,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
Cabela's Big Game Hunter 2012,Wii,2011.0,Sports,Activision,0.34,0.02,0.0,0.02,0.38
Showdown: Legends of Wrestling,XB,2004.0,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.12
Rock Band Track Pack: Classic Rock,Wii,2009.0,Misc,MTV Games,0.22,0.0,0.0,0.02,0.23
The Legend of Heroes VII: The Trail of Blue,PSV,2014.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.06,0.0,0.06
Hakuoki: Shinkai - Hana no Shou,PSV,2016.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Jackie Chan: Stuntmaster,PS,1999.0,Action,Sony Computer Entertainment,0.12,0.08,0.0,0.01,0.22
Tales of Rebirth,PS2,2004.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,0.0,0.59
Castlevania III: Dracula's Curse,NES,1989.0,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
Dark Rift,N64,1997.0,Fighting,Vic Tokai,0.12,0.03,0.0,0.0,0.15
Shaun the Sheep,DS,2008.0,Adventure,D3Publisher,0.04,0.0,0.0,0.0,0.05
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
XS Airboat Racing,PS,2002.0,Racing,XS Games,0.13,0.09,0.0,0.02,0.24
Legend: Hand of God,PC,2007.0,Role-Playing,DTP Entertainment,0.0,0.02,0.0,0.0,0.02
A Collection of Activision Classic Games for the Atari 2600,PS,1998.0,Misc,Activision,0.76,0.52,0.0,0.09,1.37
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
Barbie as The Island Princess,PS2,2007.0,Adventure,Activision,0.06,0.04,0.0,0.02,0.12
Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,PS2,2007.0,Fighting,Yuke's,0.0,0.0,0.02,0.0,0.02
Lost Magic,DS,2006.0,Role-Playing,Ubisoft,0.09,0.0,0.02,0.01,0.12
WRC: FIA World Rally Championship,PC,,Racing,Black Bean Games,0.0,0.01,0.0,0.0,0.01
Moujuutsukai to Oujisama: Snow Bride,PS2,2011.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
Serious Sam 3: BFE,PC,2011.0,Shooter,Mastertronic,0.01,0.05,0.0,0.01,0.08
Broken Sword 5: The Serpent's Curse,PS4,2015.0,Adventure,Revolution Software,0.0,0.06,0.0,0.01,0.06
Winning Eleven: Pro Evolution Soccer 2007,X360,2006.0,Sports,Konami Digital Entertainment,0.09,0.0,0.0,0.01,0.1
Zettai Meikyuu Grimm: Nanatsu no Kagi to Rakuen no Otome,PSP,2010.0,Misc,Karin Entertainment,0.0,0.0,0.02,0.0,0.02
RayStorm,PS,1997.0,Shooter,Sony Computer Entertainment,0.04,0.03,0.0,0.0,0.07
Jumble Madness,DS,2009.0,Puzzle,Destineer,0.06,0.0,0.0,0.0,0.06
Bust-A-Move Bash!,Wii,2007.0,Puzzle,505 Games,0.13,0.01,0.0,0.01,0.16
Planet 51,PS3,2009.0,Action,Sega,0.07,0.03,0.0,0.02,0.12
Pacific Liberator,Wii,2009.0,Action,Zoo Games,0.03,0.0,0.0,0.0,0.03
Black Sigil: Blade of the Exiled,DS,2009.0,Role-Playing,Graffiti,0.05,0.0,0.0,0.0,0.05
Mechanic Master,DS,2008.0,Puzzle,Midway Games,0.1,0.0,0.0,0.01,0.11
Super Bust-A-Move,GBA,2001.0,Puzzle,Ubisoft,0.03,0.01,0.0,0.0,0.05
Pro Evolution Soccer 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
Metal Gear Ac!d 2,PSP,2005.0,Strategy,Konami Digital Entertainment,0.11,0.01,0.05,0.01,0.18
"Tennis no Oji-Sama: Doubles no Oji-Sama - Boys, Be Glorious!",DS,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.01,0.0,0.01
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013.0,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
The Amazing Spider-Man 2 (2014),PS3,2014.0,Action,Activision,0.06,0.16,0.02,0.05,0.29
Bully: Scholarship Edition,Wii,2008.0,Action,Take-Two Interactive,0.17,0.29,0.0,0.06,0.52
Sid Meier's Civilization Revolution 2+,PSV,2015.0,Strategy,Take-Two Interactive,0.0,0.0,0.02,0.0,0.02
Murdered: Soul Suspect,X360,2014.0,Action,Square Enix,0.06,0.04,0.0,0.01,0.11
25 to Life,PS2,2006.0,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42
Pro Wrestling,NES,1987.0,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
F.E.A.R. 2: Project Origin,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.32,0.15,0.0,0.05,0.53
The Voice,X360,2014.0,Action,Activision,0.07,0.0,0.0,0.01,0.08
Our House,DS,2009.0,Strategy,Majesco Entertainment,0.15,0.0,0.0,0.01,0.16
Monster Lab,Wii,2008.0,Role-Playing,Eidos Interactive,0.28,0.02,0.0,0.02,0.32
Cabela's Big Game Hunter,PS2,2002.0,Sports,Activision,0.7,0.54,0.0,0.18,1.42
P.N.03 - Product Number Three,GC,2003.0,Shooter,Capcom,0.06,0.02,0.0,0.0,0.08
The Sims 3: Town Life Stuff,PC,2011.0,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34
Sphinx and the Cursed Mummy,XB,2003.0,Action,THQ,0.09,0.02,0.0,0.0,0.12
